type,left,right,similarity,decision,reason
Company,Aeris Communications,Aeris,0.7388352155685425,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aeris Communications,L&T Technology Services Limited,0.35949426889419556,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aeris Communications,Palo Alto Networks,0.31309157609939575,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aeris Communications,Associated Press,0.30639371275901794,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Ericsson,Aeris,0.3251858055591583,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Ericsson,OpenAI,0.2692146301269531,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Ericsson,Thales,0.26387548446655273,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Ericsson,ServiceNow,0.25982242822647095,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,DEWA,Aqara,0.47115179896354675,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,DEWA,Thales,0.4006684422492981,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,DEWA,HPE,0.2747069299221039,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,DEWA,ServiceNow,0.26613926887512207,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Keysight,Samsung,0.3773282468318939,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Keysight,Accenture,0.3499720096588135,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Keysight,Microsoft,0.3387823700904846,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Keysight,Aeris,0.3037840723991394,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Synopsys,HPE,0.35218411684036255,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Synopsys,Thales,0.33778131008148193,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Synopsys,Intel,0.31825733184814453,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Synopsys,OpenAI,0.315345823764801,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Associated Press,Deloitte,0.36740994453430176,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Associated Press,Microsoft,0.3196642994880676,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Associated Press,Dell Technologies Inc.,0.29441583156585693,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,OpenAI,Microsoft,0.34108635783195496,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,OpenAI,NVIDIA,0.34024378657341003,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,OpenAI,ServiceNow,0.3383897542953491,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,OpenAI,Amazon,0.32952046394348145,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Samsung,Amazon,0.4838148355484009,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Samsung,Intel,0.4505925476551056,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Samsung,Microsoft,0.4457070231437683,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Samsung,NVIDIA,0.428396075963974,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aqara,Aeris,0.3871317505836487,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aqara,Thales,0.32885444164276123,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aqara,Qualcomm,0.3040417432785034,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Deloitte,ServiceNow,0.3148036599159241,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Deloitte,HPE,0.30595457553863525,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Deloitte,Cohere,0.30307114124298096,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,ServiceNow,Amazon Web Services,0.424624502658844,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,ServiceNow,Google Cloud,0.3741197884082794,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,ServiceNow,L&T Technology Services Limited,0.34436771273612976,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,L&T Technology Services Limited,Dell Technologies Inc.,0.3575688600540161,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,L&T Technology Services Limited,Samsung,0.34772276878356934,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Palo Alto Networks,Google Cloud,0.37379541993141174,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Palo Alto Networks,Hewlett Packard Enterprise,0.3729459345340729,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Palo Alto Networks,Amazon Web Services,0.32621145248413086,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Palo Alto Networks,L&T Technology Services Limited,0.3166009485721588,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,NVIDIA,AMD,0.4729636311531067,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,NVIDIA,Intel,0.3943333029747009,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
